"Example","Model","Effect","Estimate_Stata","SE_Stata","Estimate_CRAN","SE_CRAN","Estimate_Polars","SE_Polars","Diff_Polars_Stata","Diff_CRAN_Stata"
"Wagepan","Same_Switchers",4,0.0374830390421733,".",0.0374830523439772,0.0510270899893796,0.0374830523439772,0.0510270899893796,1.33018038944721e-08,1.33018038944721e-08
"Wagepan","Same_Switchers",5,-0.0499657834854421,".",-0.0499657708663151,0.0546254344032438,-0.0499657708663151,0.0546254344032438,1.26191270002907e-08,1.26191270002907e-08
"Wagepan","Switchers_In",1,0.0693367395718761,".",0.0693367423052272,0.050415114969721,0.0693367423052272,0.050415114969721,2.73335110101414e-09,2.73335110101414e-09
"Wagepan","Switchers_In",2,0.0392462862753779,".",0.0392462858559662,0.0506126328568969,0.0392462858559662,0.0506126328568969,4.19411699814631e-10,4.19411699814631e-10
"Wagepan","Switchers_In",3,0.044619040830283,".",0.0446190393252549,0.0584115544842666,0.0446190393252549,0.0584115544842666,1.50502810214448e-09,1.50502810214448e-09
"Wagepan","Switchers_In",4,0.0244555224758496,".",0.024455531708394,0.0656956293757392,0.0244555317083939,0.0656956293757392,9.23254430199028e-09,9.23254439913479e-09
"Wagepan","Switchers_In",5,-0.0379471537956131,".",-0.037947135980127,0.0765452883925381,-0.037947135980127,0.0765452883925381,1.78154861002477e-08,1.78154861002477e-08
"Wagepan","Switchers_Out",1,0.0015410937398775,".",0.0015410926714412,0.0410324174701138,0.00154109267144119,0.0410324174701138,1.06843631012855e-09,1.06843630015389e-09
"Wagepan","Switchers_Out",2,-0.0010182020143358,".",-0.00101820931331396,0.0621764040022482,-0.001018209313314,0.0621764040022482,7.29897819983817e-09,7.29897815993953e-09
"Wagepan","Switchers_Out",3,0.0131286166164033,".",0.0131286110305108,0.0617730518487422,0.0131286110305108,0.0617730518487422,5.58589249854968e-09,5.58589249854968e-09
"Wagepan","Switchers_Out",4,0.0093061265527108,".",0.00930612781109834,0.0660923682339909,0.00930612781109839,0.0660923682339909,1.25838759031105e-09,1.25838754000407e-09
"Wagepan","Switchers_Out",5,-0.0662071708111315,".",-0.0662071693611638,0.0761446588470561,-0.0662071693611638,0.0761446588470561,1.44996770146122e-09,1.44996770146122e-09
"Wagepan","Trends_Lin",1,-0.0660763188906616,".",-0.0660763199493342,0.0720155519537213,-0.0660763199493341,0.0720155519537213,1.05867251076752e-09,1.05867260791204e-09
"Wagepan","Trends_Lin",2,-0.197420167102726,".",-0.197420168405642,0.118881140343982,-0.197420168405642,0.118881140343982,1.30291580302533e-09,1.30291580302533e-09
"Wagepan","Trends_Lin",3,-0.267400020925294,".",-0.267400029826524,0.173514313888935,-0.267400029826524,0.173514313888935,8.90122997532217e-09,8.90122997532217e-09
"Wagepan","Trends_Lin",4,-0.357576340159675,".",-0.35757634080273,0.252807622582512,-0.35757634080273,0.252807622582512,6.43055275695303e-10,6.43055275695303e-10
"Wagepan","Trends_Lin",5,-0.528716166744889,".",-0.528716166647607,0.354921383357764,-0.528716166647606,0.354921383357764,9.7282737421267e-11,9.72817382205449e-11
"Wagepan","Trends_Nonparam",1,0.0397497676309986,".",0.0397497671998484,0.0337262027466857,0.0397497671998484,0.0337262027466856,4.31150198876296e-10,4.31150198876296e-10
"Wagepan","Trends_Nonparam",2,0.0258606001099789,".",0.0258605998123675,0.0390807194710391,0.0258605998123675,0.039080719471039,2.97611397331865e-10,2.97611397331865e-10
"Wagepan","Trends_Nonparam",3,0.0334369730529025,".",0.0334369684189782,0.0424415002014662,0.0334369684189782,0.0424415002014662,4.633924299835e-09,4.633924299835e-09
"Wagepan","Trends_Nonparam",4,0.0209025946129626,".",0.0209025993186085,0.0466452906175303,0.0209025993186085,0.0466452906175303,4.70564590071554e-09,4.70564590071554e-09
"Wagepan","Trends_Nonparam",5,-0.0436952363849199,".",-0.0436952242750416,0.0547109781484224,-0.0436952242750416,0.0547109781484224,1.2109878301525e-08,1.2109878301525e-08
