index,count,mean,std,min,25%,50%,75%,max
dof_y_2_N_gt_XX,4360.0,0.75,0.43306236785578145,0.0,0.75,1.0,1.0,1.0
dof_ns_2_XX,4360.0,0.47408256880733946,0.49938510717298157,0.0,0.0,0.0,1.0,1.0
dof_s_2_XX,4360.0,0.029357798165137616,0.1688267014200694,0.0,0.0,0.0,0.0,1.0
count_cohort_2_ns_t_XX,2067.0,3075.072021484375,1036.519775390625,407.0,3167.0,3419.0,3657.0,3838.0
total_cohort_2_ns_t_XX,2067.0,427.1136169433594,190.4485626220703,8.4086275100708,389.97698974609375,434.89471435546875,488.4664611816406,732.5503540039062
mean_cohort_2_ns_t_XX,2067.0,0.1308973878622055,0.037430666387081146,0.020660018548369408,0.11809191852807999,0.13357026875019073,0.13732071220874786,0.19086773693561554
dof_cohort_2_ns_t_XX,2067.0,258.41654571843253,87.3979237375706,34.0,265.0,287.0,308.0,324.0
count_cohort_2_s_t_XX,128.0,370.1953125,170.18307495117188,84.0,181.0,453.0,522.0,522.0
total_cohort_2_s_t_XX,128.0,81.77876281738281,57.48757553100586,-2.8793258666992188,28.15882110595703,82.3049087524414,148.8536376953125,148.8536376953125
mean_cohort_2_s_t_XX,128.0,0.19326552748680115,0.09293751418590546,-0.015907878056168556,0.18168854713439941,0.1828494817018509,0.28516021370887756,0.28516021370887756
dof_cohort_2_s_t_XX,128.0,32.0,14.553187815408387,7.0,16.0,39.0,45.0,45.0
dof_ns_s_2_XX,4360.0,0.5034403669724771,0.5000455116922468,0.0,0.0,1.0,1.0,1.0
count_cohort_2_ns_s_t_XX,2195.0,3334.9267578125,1146.2078857421875,407.0,3251.0,3573.0,4110.0,4360.0
total_cohort_2_ns_s_t_XX,2195.0,479.62310791015625,235.3402862548828,8.4086275100708,387.09765625,453.3609313964844,570.771484375,881.4039306640625
mean_cohort_2_ns_s_t_XX,2195.0,0.1345016062259674,0.04099779203534126,0.020660018548369408,0.11809191852807999,0.13635414838790894,0.1388738453388214,0.20215687155723572
dof_cohort_2_ns_s_t_XX,2195.0,280.8660592255125,97.05292896976384,34.0,272.0,301.0,347.0,369.0
E_hat_gt_2_XX,2195.0,0.13453435294737442,0.04508872387104978,-0.015907878056168556,0.11809191852807999,0.13357026875019073,0.13732071220874786,0.28516021370887756
DOF_gt_2_XX,2195.0,1.0042134075909421,0.00792352285754734,1.001546791334383,1.001627340376763,1.0017467262220046,1.0018921492794914,1.0801234497346435
dummy_U_Gg2_XX,4360.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
N1_2_XX,4360.0,1478.0,0.0,1478.0,1478.0,1478.0,1478.0,1478.0
U_Gg2_temp_XX,3270.0,0.007253285256201552,0.5188487140492237,-5.015582285004798,-0.028508377737764063,0.0,0.0,12.628822168574766
U_Gg2_XX,4360.0,0.005439963942151164,0.4540279997932844,-5.274428552777457,-0.0,0.0,0.0,12.628822168574766
count2_core_XX,4360.0,5.136926651000977,6.013916492462158,0.0,0.0,0.0,12.0,16.0
U_Gg2_temp_var_XX,2195.0,6.421654716764289e-09,0.5978282856804318,-5.895611257310926,-0.03246883880099789,0.0,0.037457283966371144,11.495462112267083
U_Gg2_var_XX,4360.0,2.5863361647648704e-08,1.2067282441301215,-5.895611257310926,-0.19101647647718387,0.0,0.20662885705401754,11.495462112267083
diff_y_3_XX,2725.0,0.18551941215991974,0.49856069684028625,-4.001990795135498,-0.040374040603637695,0.1600348949432373,0.38571596145629883,5.1225786209106445
never_change_d_3_XX,2725.0,0.6139449541284404,0.4869328063589922,0.0,0.0,1.0,1.0,1.0
never_change_d_3_wXX,2725.0,7.318899082568807,5.976209463457384,0.0,0.0,11.0,12.0,16.0
N_gt_control_3_XX,4360.0,1688.366743119266,1636.1553409571666,0.0,0.0,668.0,3419.0,3657.0
distance_to_switch_3_XX,2725.0,0.04440366972477064,0.20602805858989506,0.0,0.0,0.0,0.0,1.0
distance_to_switch_3_wXX,2725.0,0.5115596330275229,2.3942299299052747,0.0,0.0,0.0,0.0,15.0
N1_t_3_XX,4360.0,174.25,193.1288229586627,0.0,0.0,119.0,249.0,522.0
N_dw1_t_3_XX,4360.0,15.125,16.648511848714396,0.0,0.0,10.5,21.75,45.0
N1_t_3_g_XX,4360.0,130.44770642201834,183.4065094594624,0.0,0.0,0.0,181.0,522.0
diff_y_3_N_gt_XX,2725.0,2.2193171977996826,6.044131278991699,-52.02587890625,-0.4688107967376709,1.83781099319458,4.5633134841918945,66.59352111816406
dof_y_3_N_gt_XX,4360.0,0.625,0.48417844651127356,0.0,0.0,1.0,1.0,1.0
dof_ns_3_XX,4360.0,0.38371559633027524,0.48634574940570974,0.0,0.0,0.0,1.0,1.0
dof_s_3_XX,4360.0,0.027752293577981653,0.16428114241986513,0.0,0.0,0.0,0.0,1.0
count_cohort_3_ns_t_XX,1673.0,3020.8798828125,1001.2388305664062,407.0,3167.0,3419.0,3503.0,3657.0
total_cohort_3_ns_t_XX,1673.0,616.5665893554688,250.2634735107422,9.32165813446045,623.2398681640625,649.3030395507812,663.8790283203125,947.8950805664062
mean_cohort_3_ns_t_XX,1673.0,0.19330205023288727,0.04619589447975159,0.022903336212038994,0.1779160350561142,0.18991021811962128,0.20962394773960114,0.25920018553733826
dof_cohort_3_ns_t_XX,1673.0,253.59892408846383,84.23401655089398,34.0,265.0,287.0,294.0,308.0
count_cohort_3_s_t_XX,121.0,386.7520751953125,159.9918212890625,84.0,181.0,453.0,522.0,522.0
total_cohort_3_s_t_XX,121.0,111.350341796875,62.83087158203125,15.646339416503906,32.34025573730469,118.48825073242188,176.497314453125,176.497314453125
mean_cohort_3_s_t_XX,121.0,0.26700559258461,0.0870300829410553,0.08644386380910873,0.2615634799003601,0.2615634799003601,0.33811745047569275,0.3850030303001404
dof_cohort_3_s_t_XX,121.0,33.446280991735534,13.622867058260985,7.0,16.0,39.0,45.0,45.0
dof_ns_s_3_XX,4360.0,0.4114678899082569,0.49215609310735975,0.0,0.0,0.0,1.0,1.0
count_cohort_3_ns_s_t_XX,1794.0,3309.230224609375,1107.778564453125,407.0,3251.0,3600.0,3956.0,4179.0
total_cohort_3_ns_s_t_XX,1794.0,694.9207153320312,296.9814147949219,9.32165813446045,657.98291015625,696.2192993164062,741.7279052734375,1124.3924560546875
mean_cohort_3_ns_s_t_XX,1794.0,0.1982322633266449,0.048513755202293396,0.022903336212038994,0.18470817804336548,0.18858781456947327,0.2141554355621338,0.2690577805042267
dof_cohort_3_ns_s_t_XX,1794.0,278.5418060200669,93.58933375925764,34.0,272.0,303.0,333.0,353.0
E_hat_gt_3_XX,1794.0,0.19827313279917871,0.05328075705812818,0.022903336212038994,0.1779160350561142,0.18991021811962128,0.20962394773960114,0.3850030303001404
DOF_gt_3_XX,1794.0,1.004281484612981,0.007258385823300928,1.001627340376763,1.0017050310761528,1.0017905117292143,1.0018921492794914,1.0801234497346435
